,color,next_play,balance,bet_amount
2496,red,red,186440,10
2497,red,red,186450,10
2498,red,red,186460,10
2499,red,red,186470,10
2500,black,black,186460,20
2501,red,red,186440,40
2502,black,black,186400,80
2503,red,red,186320,160
2504,red,red,186480,10
2505,red,red,186490,10
2506,black,black,186480,20
2507,black,black,186500,10
2508,red,red,186490,20
2509,red,red,186510,10
2510,black,black,186500,20
2511,black,black,186520,10
2512,red,red,186510,20
2513,black,black,186490,40
2514,red,red,186450,80
2515,red,red,186530,10
2516,black,black,186520,20
2517,black,black,186540,10
2518,black,black,186550,10
2519,black,black,186560,10
2520,red,red,186550,20
2521,black,black,186530,40
2522,black,black,186570,10
2523,black,black,186580,10
2524,red,red,186570,20
2525,red,red,186590,10
2526,black,black,186580,20
2527,red,red,186560,40
2528,red,red,186600,10
2529,red,red,186610,10
2530,black,black,186600,20
2531,black,black,186620,10
2532,black,black,186630,10
2533,red,red,186620,20
2534,red,red,186640,10
2535,red,red,186650,10
2536,black,black,186640,20
2537,red,red,186620,40
2538,black,black,186580,80
2539,black,black,186660,10
2540,black,black,186670,10
2541,red,red,186660,20
2542,black,black,186640,40
2543,black,black,186680,10
2544,green,none,186670,20
2545,red,red,186670,20
2546,black,black,186650,40
2547,red,red,186610,80
2548,red,red,186690,10
2549,red,red,186700,10
2550,red,red,186710,10
2551,black,black,186700,20
2552,black,black,186720,10
2553,black,black,186730,10
2554,red,red,186720,20
2555,red,red,186740,10
2556,red,red,186750,10
2557,red,red,186760,10
2558,black,black,186750,20
2559,red,red,186730,40
2560,red,red,186770,10
2561,black,black,186760,20
2562,red,red,186740,40
2563,red,red,186780,10
2564,red,red,186790,10
2565,black,black,186780,20
2566,black,black,186800,10
2567,red,red,186790,20
2568,red,red,186810,10
2569,black,black,186800,20
2570,black,black,186820,10
2571,black,black,186830,10
2572,black,black,186840,10
2573,red,red,186830,20
2574,black,black,186810,40
2575,red,red,186770,80
2576,red,red,186850,10
2577,black,black,186840,20
2578,red,red,186820,40
2579,black,black,186780,80
2580,black,black,186860,10
2581,black,black,186870,10
2582,black,black,186880,10
2583,red,red,186870,20
2584,black,black,186850,40
2585,black,black,186890,10
2586,black,black,186900,10
2587,red,red,186890,20
2588,red,red,186910,10
2589,black,black,186900,20
2590,black,black,186920,10
2591,black,black,186930,10
2592,red,red,186920,20
2593,black,black,186900,40
2594,black,black,186940,10
2595,red,red,186930,20
2596,black,black,186910,40
2597,black,black,186950,10
2598,red,red,186940,20
2599,red,red,186960,10
2600,red,red,186970,10
2601,black,black,186960,20
2602,red,red,186940,40
2603,red,red,186980,10
2604,black,black,186970,20
2605,red,red,186950,40
2606,black,black,186910,80
2607,red,red,186830,160
2608,black,black,186670,320
2609,red,red,186350,640
2610,black,black,185710,1280
2611,red,red,184430,2560
2612,black,black,181870,5120
2613,red,red,176750,10240
2614,black,black,166510,20480
2615,red,red,146030,40960
2616,black,black,105070,81920
2617,red,red,23150,163840
2618,red,red,186990,10
2619,red,red,187000,10
2620,black,black,186990,20
2621,black,black,187010,10
2622,black,black,187020,10
2623,red,red,187010,20
2624,black,black,186990,40
2625,red,red,186950,80
2626,red,red,187030,10
2627,black,black,187020,20
2628,red,red,187000,40
2629,red,red,187040,10
2630,red,red,187050,10
2631,red,red,187060,10
2632,red,red,187070,10
2633,black,black,187060,20
2634,red,red,187040,40
2635,red,red,187080,10
2636,red,red,187090,10
2637,red,red,187100,10
2638,red,red,187110,10
2639,red,red,187120,10
2640,black,black,187110,20
2641,red,red,187090,40
2642,red,red,187130,10
2643,red,red,187140,10
2644,red,red,187150,10
2645,black,black,187140,20
2646,black,black,187160,10
2647,black,black,187170,10
2648,red,red,187160,20
2649,black,black,187140,40
2650,black,black,187180,10
2651,red,red,187170,20
2652,black,black,187150,40
2653,red,red,187110,80
2654,red,red,187190,10
2655,black,black,187180,20
2656,red,red,187160,40
2657,black,black,187120,80
2658,black,black,187200,10
2659,red,red,187190,20
2660,black,black,187170,40
2661,red,red,187130,80
2662,black,black,187050,160
2663,black,black,187210,10
2664,red,red,187200,20
2665,red,red,187220,10
2666,red,red,187230,10
2667,black,black,187220,20
2668,black,black,187240,10
2669,black,black,187250,10
2670,red,red,187240,20
2671,red,red,187260,10
2672,black,black,187250,20
2673,red,red,187230,40
2674,red,red,187270,10
2675,black,black,187260,20
2676,red,red,187240,40
2677,red,red,187280,10
2678,black,black,187270,20
2679,red,red,187250,40
2680,red,red,187290,10
2681,red,red,187300,10
2682,black,black,187290,20
2683,red,red,187270,40
2684,red,red,187310,10
2685,black,black,187300,20
2686,red,red,187280,40
2687,black,black,187240,80
2688,red,red,187160,160
2689,black,black,187000,320
2690,red,red,186680,640
2691,red,red,187320,10
2692,black,black,187310,20
2693,black,black,187330,10
2694,red,red,187320,20
2695,black,black,187300,40
2696,red,red,187260,80
2697,black,black,187180,160
2698,black,black,187340,10
2699,red,red,187330,20
2700,red,red,187350,10
2701,red,red,187360,10
2702,black,black,187350,20
2703,red,red,187330,40
2704,black,black,187290,80
